player_id,player_name,projection_year,age,K_pct_proj,BB_pct_proj,FIP_proj,ERA_proj,K_pct_prior,K_pct_lgavg,BB_pct_prior,BB_pct_lgavg,FIP_prior,FIP_lgavg,ERA_prior,ERA_lgavg,K_pct_actual,BB_pct_actual,FIP_actual,ERA_actual
10363,백정현,2021,34,0.1329398259179419,0.07924855703931459,4.601858649298598,4.194298769477508,,0.1907043885222814,,0.0731047515412687,,4.079710346917135,,3.868801393728224,0.1682098765432098,0.0833333333333333,4.23,2.63
11310,박세웅,2021,26,0.18217575981458498,0.07116187082951764,4.696126646967218,4.12743709474379,0.1641337386018237,0.1907043885222814,0.0714285714285714,0.0731047515412687,4.94,4.079710346917135,4.7,3.868801393728224,0.1824817518248175,0.0773722627737226,4.51,3.98
13932,루친스키,2021,33,0.1925321282828703,0.06717311687550978,3.6352383413121334,3.1549624185837506,0.2168831168831168,0.1907043885222814,0.074025974025974,0.0731047515412687,3.78,4.079710346917135,3.05,3.868801393728224,0.2347480106100795,0.0729442970822281,3.22,3.17
13934,켈리,2021,32,0.1844537117567437,0.0563820364502899,3.5657383945638697,2.97460719097051,0.1900709219858156,0.1907043885222814,0.0567375886524822,0.0731047515412687,4.07,4.079710346917135,3.32,3.868801393728224,0.1908602150537634,0.0806451612903225,3.76,3.15
13940,요키시,2021,32,0.18738320903320727,0.04656636174500778,3.07774443547433,2.619140405590691,0.1796875,0.1907043885222814,0.0390625,0.0731047515412687,3.24,4.079710346917135,2.14,3.868801393728224,0.1772665764546684,0.0622462787550744,3.59,2.93
14602,데스파이네,2021,34,0.17164061784024054,0.072938714906096,4.032028379281425,4.270969886784235,0.1677704194260485,0.1907043885222814,0.075055187637969,0.0731047515412687,4.33,4.079710346917135,4.33,3.868801393728224,0.2014652014652014,0.0952380952380952,3.61,3.39
14617,뷰캐넌,2021,32,0.17327841173519865,0.06811438484159331,4.033918557425174,3.425683313343067,0.1662087912087912,0.1907043885222814,0.0686813186813186,0.0731047515412687,4.36,4.079710346917135,3.45,3.868801393728224,0.2137203166226912,0.0778364116094986,3.39,3.1
14627,스트레일리,2021,33,0.2512906553249518,0.06512996713573074,2.846399844119535,2.75365944781884,0.2638352638352638,0.1907043885222814,0.0656370656370656,0.0731047515412687,2.9,4.079710346917135,2.5,3.868801393728224,0.2296918767507002,0.0938375350140056,3.54,4.07
10058,양현종,2022,34,0.2066903868542545,0.06409874749469398,3.3725766296828414,3.761068313334909,,0.207623773894959,,0.0795082837186694,,3.754786949660214,,3.517707172533737,0.1897711978465679,0.0672947510094212,3.66,3.85
10126,김광현,2022,34,0.22514770307654858,0.05183698643410328,2.799641489514853,2.702269630310044,,0.207623773894959,,0.0795082837186694,,3.754786949660214,,3.517707172533737,0.2204610951008645,0.0648414985590778,3.14,2.13
11308,고영표,2022,31,0.20533264219516012,0.04669913814024997,3.1924005597941822,3.120931757083037,0.1957831325301204,0.207623773894959,0.0406626506024096,0.0795082837186694,3.22,3.754786949660214,2.92,3.517707172533737,0.2058047493403693,0.0303430079155672,2.75,3.26
11310,박세웅,2022,27,0.19039576280288356,0.07293755617796678,4.493336841651914,4.015062536739981,0.1824817518248175,0.207623773894959,0.0773722627737226,0.0795082837186694,4.51,3.754786949660214,3.98,3.517707172533737,0.2150220913107511,0.0471281296023564,2.84,3.89
11410,김민우,2022,27,0.2084153716064438,0.10600684031566543,4.191845028439438,3.8378478959601994,0.188821752265861,0.207623773894959,0.1148036253776435,0.0795082837186694,4.56,3.754786949660214,4.0,3.517707172533737,0.1814345991561181,0.1181434599156118,4.61,4.36
12852,최원준,2022,27,0.19109232976364182,0.05646882112122626,3.736473537482573,3.2582295684955587,0.1679049034175334,0.207623773894959,0.0549777117384844,0.0795082837186694,4.01,3.754786949660214,3.3,3.517707172533737,0.1584852734922861,0.0518934081346423,4.41,3.6
13932,루친스키,2022,34,0.21042410070515688,0.06939063135677798,3.3550552801595632,3.1546070040844176,0.2347480106100795,0.207623773894959,0.0729442970822281,0.0795082837186694,3.22,3.754786949660214,3.17,3.517707172533737,0.2434127979924717,0.0426599749058971,2.8,2.97
13934,켈리,2022,33,0.18678377632459903,0.06551531892995807,3.5401804669088692,3.1148818337680035,0.1908602150537634,0.207623773894959,0.0806451612903225,0.0795082837186694,3.76,3.754786949660214,3.15,3.517707172533737,0.2304216867469879,0.0527108433734939,2.89,2.54
13940,요키시,2022,33,0.18307501542624477,0.05247722525283187,3.17775837725811,2.803090835034859,0.1772665764546684,0.207623773894959,0.0622462787550744,0.0795082837186694,3.59,3.754786949660214,2.93,3.517707172533737,0.2064343163538874,0.0442359249329758,2.86,2.57
14113,원태인,2022,22,0.21514156489508604,0.07541968575719776,3.4383587992626468,3.0594851336301425,0.1969465648854962,0.207623773894959,0.0778625954198473,0.0795082837186694,3.65,3.754786949660214,3.06,3.517707172533737,0.1857142857142857,0.0542857142857142,3.72,3.92
14602,데스파이네,2022,35,0.18861955821615006,0.0837630412328339,3.6571255816648653,3.797904438385884,0.2014652014652014,0.207623773894959,0.0952380952380952,0.0795082837186694,3.61,3.754786949660214,3.39,3.517707172533737,0.1696551724137931,0.0662068965517241,3.98,4.53
