player_id,player_name,season,team,G,GS,IP,TBF,W,L,S,HD,H,HR,BB,SO,ERA,WHIP,WAR,FIP,RA9,rRA9,rRA9pf,K_pct,BB_pct,HR_per9,K_minus_BB,K_pct_reg,BB_pct_reg,HR_per9_reg,ERA_reg,FIP_reg
10058,양현종,2016,16 P,31,31,200.1,850,10,12,0,0,191,19,77,146,3.68,1.34,5.45,4.77,4.31,4.27,4.31,0.1717647058823529,0.0905882352941176,0.8545727136431784,0.0811764705882352,0.17175391936285275,0.09050597702125901,0.8546909012877307,3.682553568650431,4.7697698203449495
10058,양현종,2017,17 P,31,31,193.1,808,20,6,0,0,209,17,45,158,3.44,1.31,5.45,3.93,4.1,3.97,4.07,0.1955445544554455,0.0556930693069306,0.7923355774210254,0.1398514851485148,0.1954515425973943,0.055716982277085526,0.7931940365477144,3.4424743119165906,3.933332298795972
10058,양현종,2018,18 P,29,29,184.1,772,13,11,0,0,199,21,43,152,4.15,1.31,5.14,4.4,4.3,4.22,4.22,0.1968911917098445,0.0556994818652849,1.0266159695817492,0.1411917098445596,0.1969042642428587,0.05577671669691435,1.0271057522901483,4.1522020741207335,4.402142167675179
10058,양현종,2019,19 P,29,29,184.2,731,16,8,0,0,165,6,33,163,2.29,1.07,6.75,2.58,2.73,2.68,2.64,0.2229822161422708,0.0451436388508891,0.2931596091205212,0.1778385772913817,0.2227026805697881,0.04526100311784148,0.29495490425868665,2.296928505062388,2.5868567924404284
10058,양현종,2020,20 P,31,31,172.1,746,11,10,0,0,180,13,64,149,4.7,1.42,3.35,3.97,5.17,4.85,4.74,0.1997319034852546,0.0857908847184986,0.6798373038930854,0.113941018766756,0.19967975146351588,0.08571759683185949,0.6801317063193776,4.695198159409175,3.970633797498077
10058,양현종,2022,22 P,30,30,175.1,743,12,7,0,0,170,14,50,141,3.85,1.25,2.93,3.66,4.41,4.37,4.44,0.1897711978465679,0.0672947510094212,0.7195888063963449,0.1224764468371466,0.18987371372034495,0.06728631327283065,0.7190919185214564,3.8467251338609456,3.658678563320103
10058,양현종,2023,23 P,29,29,171.0,729,9,11,0,0,181,13,48,133,3.58,1.34,3.59,3.7,4.11,4.02,4.13,0.1824417009602194,0.0658436213991769,0.6842105263157895,0.1165980795610425,0.18251211763980527,0.06584378444294804,0.6833749026489347,3.5781270948963395,3.6988659607276766
10058,양현종,2024,24 P,29,29,171.1,727,11,5,0,0,174,21,41,129,4.1,1.25,4.34,4.69,4.52,4.37,4.39,0.1774415405777166,0.0563961485557083,1.1046171829339568,0.1210453920220082,0.17764484773109937,0.05645510927761273,1.1036560296858955,4.098927530759514,4.6875482788865055
10058,양현종,2025,25 P,30,30,153.0,677,7,9,0,0,171,12,57,109,5.06,1.49,0.86,4.35,5.94,5.66,5.83,0.1610044313146233,0.0841949778434268,0.7058823529411765,0.0768094534711964,0.16142948409588234,0.08408358486386396,0.7055837747242583,5.049812055991626,4.344367449300539
10126,김광현,2019,19 P,31,30,190.1,786,17,6,0,0,198,13,38,180,2.51,1.24,6.32,2.91,3.03,2.95,2.91,0.2290076335877862,0.0483460559796437,0.6154655444502893,0.1806615776081425,0.2287051981850164,0.04844303894725659,0.6155188292449438,2.5155633654503102,2.914918252014481
10126,김광현,2022,22 P,28,28,173.1,694,13,3,0,0,141,10,45,153,2.13,1.07,6.63,3.14,2.49,2.49,2.44,0.2204610951008645,0.0648414985590778,0.5199306759098787,0.1556195965417867,0.22038851123020306,0.06484705494642269,0.5205748813993594,2.1365668930092614,3.141650172318611
10126,김광현,2023,23 P,30,30,168.1,713,9,8,0,0,163,11,70,119,3.53,1.38,3.63,4.19,4.01,3.89,3.89,0.1669004207573632,0.0981767180925666,0.5889351576442594,0.0687237026647966,0.16706395091166018,0.09798567697391046,0.588648629542382,3.5283906583215283,4.1859488187176845
10126,김광현,2024,24 P,31,31,162.1,709,12,10,0,0,162,24,73,154,4.93,1.45,2.97,5.18,5.27,5.25,5.04,0.2172073342736248,0.1029619181946403,1.3325107958050586,0.1142454160789844,0.2171780477463487,0.10273862800825662,1.3300993421762268,4.923779448459303,5.174408698935423
10126,김광현,2025,25 P,28,28,144.0,636,10,10,0,0,164,13,50,138,5.0,1.49,1.62,3.77,5.38,5.21,5.13,0.2169811320754717,0.0786163522012578,0.8125,0.1383647798742138,0.21704652123100993,0.07853651845497843,0.8114475952243845,4.9895934939497275,3.7680178427054
10131,박종훈,2017,17 P,29,28,151.1,664,12,7,0,1,145,16,61,107,4.1,1.36,3.72,5.44,4.4,4.25,4.23,0.161144578313253,0.091867469879518,0.9530112508272668,0.0692771084337349,0.16125204954595815,0.09166015302833118,0.9530503780007321,4.098818303372848,5.4343247810407505
10131,박종훈,2018,18 P,30,30,159.1,702,14,8,0,0,158,16,54,133,4.18,1.33,4.27,4.89,4.58,4.41,4.26,0.1894586894586894,0.0769230769230769,0.9050911376492772,0.1125356125356125,0.18952022742316213,0.07687980754316946,0.9064164568951057,4.1823585504044205,4.889416085175986
10131,박종훈,2019,19 P,28,28,144.0,643,8,11,0,0,157,12,59,100,3.88,1.5,2.85,4.62,4.5,4.25,4.08,0.1555209953343701,0.0917573872472783,0.75,0.0637636080870917,0.15562921073288116,0.09158581561861065,0.7491424018531638,3.8778838561210645,4.6146888135170165
10131,박종훈,2020,20 P,29,28,157.1,691,13,11,0,0,146,14,78,134,4.81,1.42,2.77,4.9,5.15,4.92,4.79,0.1939218523878437,0.1128798842257597,0.8020369191597708,0.0810419681620839,0.19390150157275474,0.11262830210884324,0.8015863274122976,4.804046814634587,4.894811577146851
