player_id,player_name,season,team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,HP,IB,SB,CS,AVG,OBP,SLG,OPS,WAR,oWAR,dWAR,wRC+,R_per_PA,BB_pct,K_pct,HR_pct,ISO,1B,wOBA,BB_pct_reg,K_pct_reg,HR_pct_reg,ISO_reg,wOBA_reg,OBP_reg,SLG_reg
10008,김선빈,2017,17 SS,137,529,476,84,176,34,1,5,64,39,40,5,4,4,4,0.37,0.42,0.477,0.897,5.49,5.41,0.07,136.0,0.181,0.0737240075614366,0.0756143667296786,0.0094517958412098,0.1069999999999999,136,0.3910207939508507,0.07375299390708352,0.07577336792038444,0.009498831820589311,0.10714548418230069,0.39100041212134007,0.41992482530048314,0.4770347107126685
10008,김선빈,2018,18 SS,127,492,424,73,125,17,2,4,49,48,42,9,1,4,1,0.295,0.374,0.373,0.747,1.75,2.46,-0.71,93.9,0.132,0.0975609756097561,0.0853658536585365,0.008130081300813,0.078,102,0.3325406504065041,0.0975398448016423,0.08553973506181504,0.008194031346227357,0.07825196376140414,0.33265284923954475,0.3740137049537393,0.3732866952238722
10008,김선빈,2019,19 SS,121,447,394,55,115,22,0,3,40,43,26,1,0,5,4,0.292,0.36,0.371,0.731,2.85,2.92,-0.07,104.5,0.123,0.0961968680089485,0.058165548098434,0.0067114093959731,0.079,90,0.3237807606263982,0.09619862096666217,0.05836022225197483,0.006748477038425438,0.07914186412170304,0.3238448035212211,0.36001612088298296,0.3711409388807069
10008,김선빈,2021,21 2B,130,564,501,55,154,32,0,5,67,56,39,1,2,0,0,0.307,0.375,0.401,0.776,3.04,3.51,-0.47,115.0,0.141,0.0992907801418439,0.0691489361702127,0.0088652482269503,0.094,117,0.3450886524822695,0.09931595982733138,0.06930575407332333,0.008895395265653175,0.09409548498226236,0.34510625476252194,0.37499521922782336,0.40105560575361626
10008,김선빈,2022,22 2B,140,587,505,51,145,23,0,3,61,65,47,6,0,13,2,0.287,0.373,0.35,0.723,3.22,3.47,-0.25,109.9,0.127,0.110732538330494,0.080068143100511,0.0051107325383304,0.063,119,0.3246848381601362,0.11070554603675946,0.08020051462473239,0.005142245873550999,0.06313305091980025,0.3247200737181636,0.37297642198872377,0.350127801650986
10008,김선빈,2023,23 2B,119,473,419,41,134,16,0,0,48,38,26,5,0,3,1,0.32,0.381,0.358,0.739,2.71,2.92,-0.21,114.9,0.132,0.080338266384778,0.054968287526427,0.0,0.0379999999999999,118,0.3280338266384778,0.08037293872522709,0.05516584993629836,4.37953344449733e-05,0.03819404093641377,0.3280642915509652,0.3809589380287113,0.35812196879214087
10008,김선빈,2024,24 2B,116,466,423,48,139,23,0,9,57,30,39,5,0,5,1,0.329,0.38,0.447,0.827,2.46,3.06,-0.6,117.4,0.156,0.0643776824034334,0.0836909871244635,0.01931330472103,0.118,107,0.3597424892703863,0.06444920503985783,0.0838715253576147,0.019339651139200824,0.11811224037470217,0.3597601206860304,0.37998655187953273,0.4470459595184313
10014,안치홍,2017,17 2B,132,545,487,95,154,29,2,21,93,43,70,4,1,7,0,0.316,0.373,0.513,0.886,4.27,4.63,-0.36,125.9,0.167,0.0788990825688073,0.128440366972477,0.0385321100917431,0.197,102,0.3807339449541284,0.07891774133837781,0.12849795787143542,0.03852450707859403,0.1969763857447242,0.3807330007771248,0.3730131088081613,0.5129677594829932
10014,안치홍,2018,18 2B,130,549,494,88,169,38,1,23,118,36,57,10,1,5,1,0.342,0.392,0.563,0.955,4.82,5.01,-0.19,135.9,0.19,0.0655737704918032,0.1038251366120218,0.0418943533697632,0.2209999999999999,107,0.4106557377049181,0.06561298815856291,0.10394743524631787,0.04189028627943652,0.22096585115340395,0.41061428122744653,0.39197955734944273,0.5629115286279436
10014,안치홍,2020,20 2B,124,460,412,49,118,28,0,8,54,35,47,7,2,14,3,0.286,0.351,0.413,0.764,1.53,2.09,-0.55,98.2,0.134,0.0760869565217391,0.1021739130434782,0.017391304347826,0.127,82,0.3359347826086957,0.07614155233918281,0.10227896353386763,0.017419964541003478,0.12709186352852353,0.3360087800204191,0.3510569539583346,0.41312253062918314
10014,안치홍,2021,21 2B,119,490,421,58,129,30,2,10,82,52,58,3,2,3,6,0.306,0.379,0.458,0.837,3.01,3.62,-0.61,122.3,0.156,0.1061224489795918,0.1183673469387755,0.0204081632653061,0.152,87,0.3628775510204082,0.10613750978094144,0.1184475581495473,0.020419344857625386,0.1519917495213406,0.3628615762542259,0.37898635206460324,0.4579478966411267
10014,안치홍,2022,22 2B,132,562,493,71,140,27,3,14,58,51,52,5,4,7,2,0.284,0.354,0.436,0.79,3.18,3.78,-0.6,117.9,0.141,0.090747330960854,0.092526690391459,0.0249110320284697,0.152,96,0.3430249110320285,0.09075463777906666,0.09264281101126581,0.024908775441648337,0.15198087733719814,0.34302913560618165,0.35400912278751256,0.43598072357154494
10014,안치홍,2023,23 2B,121,494,425,57,124,20,1,8,63,49,53,10,3,3,3,0.292,0.374,0.4,0.774,2.38,2.84,-0.46,117.5,0.142,0.0991902834008097,0.1072874493927125,0.0161943319838056,0.108,95,0.3428744939271255,0.09918539991062147,0.10737093509051601,0.016203553512175523,0.10804439475527307,0.3428736852427424,0.37397482146587707,0.4000319458736864
10014,안치홍,2024,24 DH,128,533,473,64,142,21,0,13,66,49,70,6,1,3,2,0.3,0.37,0.427,0.797,1.38,1.69,-0.31,107.9,0.146,0.0919324577861163,0.1313320825515947,0.024390243902439,0.127,108,0.3531332082551595,0.09194340590564351,0.13140075344944954,0.024403777307128827,0.12708130384828822,0.3531610044201801,0.370006965782288,0.42707764624551947
10030,나지완,2016,16 LF,118,486,380,84,117,21,2,25,90,85,90,17,1,6,3,0.308,0.451,0.571,1.022,4.22,4.42,-0.2,159.6,0.222,0.1748971193415638,0.1851851851851851,0.051440329218107,0.2629999999999999,69,0.4417901234567902,0.17474930103168043,0.18510935617990448,0.051404937344070895,0.26284505851327516,0.44168070278868266,0.4508784166062498,0.5708607350755384
10030,나지완,2017,17 DH,137,551,459,85,138,20,3,27,94,62,105,23,0,1,1,0.301,0.405,0.534,0.939,3.32,3.57,-0.25,139.7,0.186,0.1125226860254083,0.190562613430127,0.0490018148820326,0.233,88,0.4076588021778584,0.11248022965716353,0.19050703803949956,0.04897532765382666,0.23291142503010764,0.40760909134838796,0.4049549953066234,0.5339300664451346
10030,나지완,2020,20 LF,137,556,468,73,136,19,1,17,92,64,114,18,1,0,0,0.291,0.392,0.444,0.836,2.74,3.5,-0.76,124.6,0.164,0.1151079136690647,0.2050359712230215,0.0305755395683453,0.153,99,0.371726618705036,0.11508304421609203,0.20493824450469114,0.030575590042015495,0.1530293520406631,0.3717236042897903,0.3919735292186576,0.44404575694803133
10035,이용규,2016,16 CF,113,530,452,98,159,20,4,3,41,63,29,7,1,21,11,0.352,0.438,0.434,0.872,4.54,3.98,0.56,127.9,0.181,0.1188679245283018,0.0547169811320754,0.0056603773584905,0.082,132,0.3852264150943396,0.1188378711910138,0.05489313834202165,0.005714132743055534,0.08219876364588524,0.38523258429018525,0.4379129734223044,0.43413027868509835
10035,이용규,2018,18 CF,134,575,491,82,144,14,1,1,36,59,62,12,0,30,11,0.293,0.379,0.332,0.711,1.78,1.74,0.04,89.3,0.126,0.1026086956521739,0.1078260869565217,0.0017391304347826,0.039,128,0.3213391304347825,0.10258184633196117,0.10793591907200492,0.0018049608571008458,0.03928336481661849,0.32145460881092974,0.37900304955241926,0.33231656379404345
