player_id,player_name,projection_year,age,n_seasons,IP_proj,K_pct_proj,BB_pct_proj,HR_per9_proj,ERA_proj,FIP_proj,name_en,player_name_en,Team,IP,ERA,FIP,WHIP,W,L,SO,BB,WAR_actual
10590,류현진,2026,39,1,158.1,0.2034559468447608,0.0499845315571584,0.5735797136852392,3.8267630102869457,3.4363278954499137,Ryu Hyun-jin,Ryu Hyun-jin,26 P,87.2,2.67,3.0,1.06,8,2,70,11,3.04
10652,임찬규,2026,34,3,150.5,0.1788159916939111,0.0759585606992792,0.5279162232424479,3.4478841685639106,3.742469726183777,Im Chan-gyu,Im Chan-gyu,26 P,90.1,3.79,4.56,1.41,8,2,46,27,2.3
13061,곽빈,2026,27,2,157.2,0.2321046961090742,0.0940689925294605,0.6759144112811626,3.899577934985228,3.818258335624793,Kwak Bin,Kwak Bin,26 P,90.0,2.7,2.87,1.24,7,3,105,28,3.06
13941,알칸타라,2026,34,3,187.46666666666667,0.1998380692255001,0.0410510046582282,0.5804561433873785,3.024713250551361,3.1742801943145116,Alcantara,Alcantara,26 P,103.0,3.32,3.85,1.11,7,6,96,13,2.88
15531,후라도,2026,30,3,190.13333333333333,0.2052475214712253,0.0473571623834067,0.7118103056568741,2.9081387424986067,3.4944729778379147,Hurado,Hurado,26 P,101.0,3.12,4.13,1.25,4,1,65,19,3.23
16088,네일,2026,33,2,156.6,0.22302731979287,0.0576488796353032,0.3908477091290565,2.513238472490408,3.156478857985318,nail,nail,26 P,99.1,3.44,3.5,1.09,5,4,80,18,3.16
