player_id,player_name,season,team,G,GS,IP,TBF,W,L,S,HD,H,HR,BB,SO,ERA,WHIP,WAR,FIP,RA9,rRA9,rRA9pf,K_pct,BB_pct,HR_per9,K_minus_BB,IP_next,K_pct_next,BB_pct_next,HR_per9_next,K_minus_BB_next,ERA_next,FIP_next,WHIP_next,WAR_next
10058,양현종,2016,16 P,31,31,200.1,850,10,12,0,0,191,19,77,146,3.68,1.34,5.45,4.77,4.31,4.27,4.31,0.17176470588235293,0.09058823529411765,0.8545727136431784,0.08117647058823528,193.1,0.19554455445544555,0.055693069306930694,0.7923355774210254,0.13985148514851486,3.44,3.93,1.31,5.45
10058,양현종,2017,17 P,31,31,193.1,808,20,6,0,0,209,17,45,158,3.44,1.31,5.45,3.93,4.1,3.97,4.07,0.19554455445544555,0.055693069306930694,0.7923355774210254,0.13985148514851486,184.1,0.19689119170984457,0.05569948186528497,1.0266159695817492,0.1411917098445596,4.15,4.4,1.31,5.14
10058,양현종,2018,18 P,29,29,184.1,772,13,11,0,0,199,21,43,152,4.15,1.31,5.14,4.4,4.3,4.22,4.22,0.19689119170984457,0.05569948186528497,1.0266159695817492,0.1411917098445596,184.2,0.22298221614227087,0.04514363885088919,0.2931596091205212,0.1778385772913817,2.29,2.58,1.07,6.75
10058,양현종,2019,19 P,29,29,184.2,731,16,8,0,0,165,6,33,163,2.29,1.07,6.75,2.58,2.73,2.68,2.64,0.22298221614227087,0.04514363885088919,0.2931596091205212,0.1778385772913817,172.1,0.19973190348525469,0.08579088471849866,0.6798373038930854,0.11394101876675602,4.7,3.97,1.42,3.35
10058,양현종,2022,22 P,30,30,175.1,743,12,7,0,0,170,14,50,141,3.85,1.25,2.93,3.66,4.41,4.37,4.44,0.18977119784656796,0.06729475100942127,0.7195888063963449,0.12247644683714669,171.0,0.18244170096021947,0.06584362139917696,0.6842105263157895,0.11659807956104251,3.58,3.7,1.34,3.59
10058,양현종,2023,23 P,29,29,171.0,729,9,11,0,0,181,13,48,133,3.58,1.34,3.59,3.7,4.11,4.02,4.13,0.18244170096021947,0.06584362139917696,0.6842105263157895,0.11659807956104251,171.1,0.17744154057771663,0.05639614855570839,1.1046171829339568,0.12104539202200824,4.1,4.69,1.25,4.34
10058,양현종,2024,24 P,29,29,171.1,727,11,5,0,0,174,21,41,129,4.1,1.25,4.34,4.69,4.52,4.37,4.39,0.17744154057771663,0.05639614855570839,1.1046171829339568,0.12104539202200824,153.0,0.16100443131462333,0.08419497784342689,0.7058823529411765,0.07680945347119644,5.06,4.35,1.49,0.86
10126,김광현,2022,22 P,28,28,173.1,694,13,3,0,0,141,10,45,153,2.13,1.07,6.63,3.14,2.49,2.49,2.44,0.22046109510086456,0.06484149855907781,0.5199306759098787,0.15561959654178675,168.1,0.16690042075736325,0.09817671809256662,0.5889351576442594,0.06872370266479663,3.53,4.19,1.38,3.63
10126,김광현,2023,23 P,30,30,168.1,713,9,8,0,0,163,11,70,119,3.53,1.38,3.63,4.19,4.01,3.89,3.89,0.16690042075736325,0.09817671809256662,0.5889351576442594,0.06872370266479663,162.1,0.21720733427362482,0.10296191819464035,1.3325107958050586,0.11424541607898447,4.93,5.18,1.45,2.97
10126,김광현,2024,24 P,31,31,162.1,709,12,10,0,0,162,24,73,154,4.93,1.45,2.97,5.18,5.27,5.25,5.04,0.21720733427362482,0.10296191819464035,1.3325107958050586,0.11424541607898447,144.0,0.2169811320754717,0.07861635220125786,0.8125,0.13836477987421386,5.0,3.77,1.49,1.62
