player_id,player_name,season,team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,HP,IB,SB,CS,AVG,OBP,SLG,OPS,WAR,oWAR,dWAR,wRC+,R_per_PA,BB_pct,K_pct,HR_pct,ISO,1B,wOBA
10182,최주환,2021,21 2B,116,470,406,50,104,16,0,18,67,53,84,9,4,2,1,0.256,0.353,0.429,0.782,2.44,2.29,0.15,112.4,0.141,0.1127659574468085,0.17872340425531916,0.03829787234042553,0.173,70,0.3478085106382979
10182,최주환,2023,23 2B,134,478,426,48,100,24,0,20,63,44,94,4,4,0,0,0.235,0.31,0.432,0.742,1.0,1.56,-0.56,99.3,0.12,0.09205020920502092,0.19665271966527198,0.04184100418410042,0.197,56,0.32543933054393304
10182,최주환,2025,25 1B,120,506,459,45,126,31,1,12,74,36,66,5,2,0,0,0.275,0.33,0.425,0.755,0.56,1.03,-0.47,111.4,0.124,0.07114624505928854,0.13043478260869565,0.023715415019762844,0.14999999999999997,82,0.3312450592885376
10183,최준석,2017,17 DH,125,464,409,43,119,15,0,14,82,49,89,1,0,0,0,0.291,0.364,0.43,0.794,0.25,0.55,-0.3,98.7,0.138,0.10560344827586207,0.19181034482758622,0.03017241379310345,0.139,90,0.3514655172413793
10184,허경민,2018,18 3B,133,577,516,85,167,30,5,10,79,32,52,16,0,20,4,0.324,0.376,0.459,0.835,3.59,3.07,0.52,115.3,0.153,0.05545927209705372,0.09012131715771231,0.01733102253032929,0.135,122,0.36287694974003465
10184,허경민,2019,19 3B,133,540,475,71,137,25,1,4,60,34,36,17,2,11,5,0.288,0.35,0.371,0.721,2.64,2.43,0.22,107.7,0.118,0.06296296296296296,0.06666666666666667,0.007407407407407408,0.08300000000000002,107,0.31981481481481483
10184,허경민,2020,20 3B,117,487,437,70,145,25,1,7,58,35,28,5,2,14,6,0.332,0.382,0.442,0.824,4.13,3.44,0.68,131.4,0.161,0.07186858316221766,0.057494866529774126,0.014373716632443531,0.10999999999999999,112,0.3603696098562628
10184,허경민,2022,22 3B,121,493,432,59,125,23,0,8,60,36,40,16,3,10,3,0.289,0.36,0.398,0.758,2.56,3.13,-0.58,122.1,0.135,0.07302231237322515,0.08113590263691683,0.016227180527383367,0.10900000000000004,94,0.3367748478701826
10184,허경민,2023,23 3B,130,475,429,44,115,23,1,7,48,35,26,6,3,9,3,0.268,0.328,0.375,0.703,2.14,1.64,0.5,98.5,0.111,0.07368421052631578,0.05473684210526316,0.014736842105263158,0.10699999999999998,84,0.31317894736842106
10184,허경민,2024,24 3B,115,477,417,69,129,28,0,7,61,36,25,18,0,5,1,0.309,0.384,0.427,0.811,3.3,3.09,0.21,122.0,0.16,0.07547169811320754,0.05241090146750524,0.014675052410901468,0.118,94,0.35999999999999993
10184,허경민,2025,25 3B,114,481,420,47,119,18,0,4,44,39,35,15,1,4,1,0.283,0.362,0.355,0.717,1.68,1.69,-0.01,99.4,0.123,0.08108108108108109,0.07276507276507277,0.008316008316008316,0.07200000000000001,97,0.32286902286902286
10187,김현수,2018,18 LF,117,511,453,95,164,39,2,20,101,47,61,1,6,1,3,0.362,0.415,0.589,1.004,4.99,5.07,-0.08,158.5,0.21,0.09197651663405088,0.11937377690802348,0.03913894324853229,0.22699999999999998,103,0.4297260273972603
10187,김현수,2019,19 LF,140,595,526,75,160,37,0,11,82,54,52,6,9,3,1,0.304,0.37,0.437,0.807,3.15,3.37,-0.22,130.5,0.143,0.0907563025210084,0.08739495798319327,0.018487394957983194,0.133,112,0.3552100840336134
