player_name,HPI,HPI_weighted
강민호,0.27985227834690507,0.19286083616394586
강백호,0.7697350907117,0.35436839945376064
강승호,-3.5368352348212677,-0.9666797858927089
강한울,-2.5167004228065784,-1.1366584001083284
고메즈,-1.4271566822240311,-0.2399126792128671
고명준,-2.744224280592227,-0.688697466205568
고승민,-0.7951978083519826,-0.3877155696079181
고종욱,-3.524400121499241,-1.1830540687671316
구자욱,-0.0022625811907721616,0.06728215327038743
권희동,1.3436301187283481,0.3423931467596049
김강민,-3.1225959373164383,-0.9339042968170195
김도영,1.6979853395634337,0.8959365726285259
김동엽,-0.7830675274346954,-0.031644095823064544
김문호,-0.9758154436657509,-0.5600262234089783
김민석,-4.137200438949117,-1.3119214399420651
김민성,-0.7687831468676141,-0.24165954957520744
김민혁,-0.8878227075782232,-0.6141015043979913
김상수,-0.16225124803639135,-0.34162639822440893
김선빈,0.2163811434091391,-0.3350971840387028
김성윤,1.0503442344342178,0.003042296418222956
김성현,-0.3772179285109407,-0.4425913191186094
김영웅,-1.8160037815593655,-0.0443191379108383
김재호,0.6764561401226358,-0.018442047609887047
김재환,0.7602417569686293,0.5773016264008809
김주원,-1.39091005042316,-0.3948472944856058
김주찬,-0.5735252531206179,-0.178059592479896
김지찬,0.9207133361403492,-0.1480488741302054
김태균,1.0006335345834942,0.26140883445347185
김태연,-1.9522523795800542,-0.5992090873748575
김하성,1.3833619033063838,0.4351830637285702
김헌곤,-0.3245449593131555,-0.4393967513792979
김현수,1.1594798163842128,0.202119894427321
김현준,-2.95295945154264,-1.1025362314472158
김혜성,-0.9949826477215552,-0.5319498884379358
김휘집,-1.0537660032953637,-0.21830946698731002
나성범,-1.0742077297989463,-0.03964489802988092
나승엽,0.6241223163716718,0.04824049496799989
나주환,-2.024316500647993,-0.4038511318667271
나지완,1.5022756804464523,0.68323378471027
노수광,-1.236580193049562,-0.5645610321260344
노시환,0.3589292671679185,0.317361207233508
노진혁,-0.7895077886824398,-0.010364171031678707
대니돈,2.096030281318628,0.6376077765041371
데이비슨,-0.08006653258359986,0.7351654848803821
디아즈,2.6832004881422855,1.3658016889277969
라모스,0.8305391602207073,1.0114521623232764
러프,1.5754850736218684,0.7173091681802267
레이예스,-0.18119382874100282,-0.2154412036514744
로맥,2.101342093120854,1.0300751013838048
로사리오,1.7016820523448282,0.905708959232762
로하스,1.1943200196172747,0.703961641673451
류지혁,-1.6079732052610296,-0.7671780562691083
마차도,0.28964664324153944,-0.15192736909443802
마티니,-0.24923355317779644,-0.1058674464780073
마틴,-0.22649142524449273,0.09371170761716785
모창민,-0.649107543513755,-0.16762715784741117
문보경,0.4726587599979054,0.13819623405554834
문성주,0.6537299473219091,-0.2159196983583167
문현빈,-1.9331507823539482,-0.7339204065801792
민병헌,-0.34962070602091294,-0.12241049189214677
박건우,-0.14197841607240752,-0.15104510908457688
박경수,-0.01225002906923292,0.16913799937822355
박동원,-0.10695256613156794,0.23364378890432028
박민우,-0.6872548371023776,-0.5180423422792493
박병호,0.43326053564634215,0.6558326710578543
박석민,2.494736324432446,0.9596063868070007
박성한,0.004167829161157455,-0.21110173385906536
박세혁,-1.3362429392749045,-0.6803170220626265
박승욱,-2.6326109379069673,-0.7490434874508617
박용택,-0.10348228760439815,-0.11357996434442948
박정권,-1.4287039988564776,-0.21783261304554935
박찬호,-0.4552929791614318,-0.47281070370872336
박해민,-1.1227011894896894,-0.5681260513371162
배정대,-1.7001842147927075,-0.508684040362958
백상원,-0.7574220051571515,-0.5324207384891815
버나디나,-0.2904314827571396,0.0582827554451498
번즈,-2.376006218889259,-0.44456570580894444
샌즈,1.8575188135969862,0.7545022026383332
서건창,0.6451047393430562,-0.13496213989793449
서동욱,-0.0694043136163649,0.15175760705147867
서호철,-2.7545361823756465,-0.9119704219768295
소크라테스,-0.34167898059840707,-0.05996957906519832
손아섭,0.23704293679080127,-0.0938081943544912
송광민,-2.149780200831684,-0.5797615696483002
송성문,0.5686809891645922,0.14020817646032685
스크럭스,1.1897526619273249,0.9828618208055075
신민재,0.6087900418515457,-0.2379130836797435
신본기,-2.2476344834099304,-0.6608623935706358
심우준,-1.964141847726913,-0.7965812438041039
안치홍,0.3476364408023197,-0.018034187918592293
안현민,3.3164716817909614,1.1611680547862318
알테어,-0.9915334412375095,0.24010291854689356
알포드,-2.493675235850654,-0.5707196428622172
양석환,-1.3116624481754662,-0.10670851138897393
양의지,2.090562199216305,0.6773068742773121
에레디아,-0.9141534105708202,-0.32077759016549173
에반스,1.4065598048470198,0.7004600852618859
오선우,-3.999196398511875,-0.7517556381245284
오스틴,2.076929879709184,0.814661375024312
오재원,-1.4371363151942442,-0.4541171010839238
오재일,0.8236699753756996,0.5377449498304223
오지환,-0.7957979108834321,-0.19768141534565734
위즈덤,0.056534075507933323,0.7587136771195505
유강남,-1.590494919855245,-0.40123958411414384
유한준,1.0555963949941192,0.23290687427754475
윤동희,-0.4531621616875749,-0.14852928344396288
윤석민,-1.0544523913850627,-0.285800992634021
이대호,0.8852176636155096,0.3371057780816275
이명기,-1.2432204255724668,-0.6663113808539124
이범호,2.435402807136958,1.0112251029412591
이성열,-1.088197142682093,0.14553790543961467
이승엽,0.9160313758793766,0.428486853045023
이용규,0.8891516581855943,-0.17757631631253945
이원석,-0.02708279736412711,0.0777280149360549
이재원,-0.08451200340509453,-0.046210257754688844
이재현,0.02148375949062209,0.04446856350884612
이정후,0.714688699355761,-0.08146674917623305
이종욱,-0.4746942465860686,-0.3894951277060866
이주형,-2.2515366722736716,-0.6153181445055593
이지영,-2.207892191624179,-1.053631445531208
이창진,-0.7426479830091923,-0.32707732477415685
이천웅,-1.1215815130909998,-0.6690936835443994
이택근,0.7534601188765072,0.02539656821161529
이형종,-1.1208598261726364,-0.34502556325363676
이호준,2.2480741737650263,0.8595622885587578
장성우,0.36167179371169406,0.13178208648251605
전준우,-0.010942718687976076,-0.022735838472115223
정근우,1.087614236503192,0.174583096832889
정수빈,-0.04412743292604367,-0.35831889958018714
정은원,0.042269521396003304,-0.17493232303915215
정의윤,-0.6928035301275551,-0.11340365986451922
정훈,0.3485114883527528,0.07056604607633829
조용호,-0.8318896639662806,-0.5431750023373598
채은성,-1.0224188247900032,-0.2561169760126114
최원준,-1.031104740057536,-0.5491963474812331
최재훈,0.940556738511938,0.046239271289329476
최정,2.17912377111009,1.0993491751450248
최주환,-0.055088448838727884,-0.0009716089832068064
최준석,-0.30698741596310186,-0.012100453545424647
최지훈,-1.2587076506730874,-0.6342964201238116
최형우,1.8519065680529228,0.6561066071071299
추신수,1.5526635931302388,0.564843944506294
케이브,-1.8325882449678734,-0.49742006027219776
터커,1.8628651891099777,0.5234885376639307
터크먼,-0.5895332451526542,-0.28786649745240606
테임즈,3.4626414686453018,1.6261014980585433
페라자,0.04406277302347994,0.37783201833700786
페르난데스,1.5661525775484726,0.26042142136443736
푸이그,0.3422662462077882,0.2554700543335091
피렐라,0.572831543752571,0.22563032304945393
필,-0.41552556166148213,-0.09765639100985521
하주석,-2.534012253666262,-0.7709952192995935
한동민,0.16425963836720536,0.36684816543193155
한동희,-0.013190448459669065,0.041675002135862026
한유섬,-0.13303721000203125,0.2401466209342991
허경민,-0.12123051946111553,-0.38944901793989223
호잉,-0.08777832894467563,0.13611407924794722
홍창기,0.7834442648354594,-0.0467590928314536
황재균,-0.22144103443876398,-0.04403104266981602
히메네스,0.5495661224805997,0.2559018472684318
