player_id,player_name,season,team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,HP,IB,SB,CS,AVG,OBP,SLG,OPS,WAR,oWAR,dWAR,wRC+,R_per_PA,BB_pct,K_pct,HR_pct,ISO,1B,wOBA,PA_next,BB_pct_next,K_pct_next,HR_pct_next,ISO_next,wOBA_next,OBP_next,SLG_next,wRC+_next,WAR_next,oWAR_next
10106,최정,2016,16 3B,141,606,500,106,144,24,1,40,106,77,126,23,2,1,2,0.288,0.403,0.58,0.983,5.89,5.55,0.34,141.2,0.2,0.12706270627062707,0.2079207920792079,0.066006600660066,0.292,79,0.42260726072607263,527,0.13282732447817835,0.2030360531309298,0.0872865275142315,0.36800000000000005,0.4672675521821632,0.427,0.684,169.6,6.58,6.03
10106,최정,2017,17 3B,130,527,430,89,136,18,1,46,113,70,107,19,10,1,5,0.316,0.427,0.684,1.111,6.58,6.03,0.55,169.6,0.232,0.13282732447817835,0.2030360531309298,0.0872865275142315,0.36800000000000005,71,0.4672675521821632,489,0.11860940695296524,0.26380368098159507,0.07157464212678936,0.30300000000000005,0.3964212678936605,0.368,0.547,122.0,3.37,2.97
10106,최정,2018,18 3B,115,489,406,95,99,16,1,35,74,58,129,23,2,9,2,0.244,0.368,0.547,0.915,3.37,2.97,0.4,122.0,0.177,0.11860940695296524,0.26380368098159507,0.07157464212678936,0.30300000000000005,47,0.3964212678936605,606,0.11386138613861387,0.15181518151815182,0.04785478547854786,0.22700000000000004,0.4001815181518152,0.399,0.519,154.4,5.98,6.25
10106,최정,2019,19 3B,141,606,503,86,147,27,0,29,99,69,92,26,6,3,2,0.292,0.399,0.519,0.918,5.98,6.25,-0.27,154.4,0.186,0.11386138613861387,0.15181518151815182,0.04785478547854786,0.22700000000000004,91,0.4001815181518152,553,0.13562386980108498,0.17721518987341772,0.059674502712477394,0.268,0.4032911392405063,0.392,0.538,141.3,4.9,4.73
10106,최정,2020,20 3B,133,553,452,90,122,22,0,33,96,75,98,20,1,8,3,0.27,0.392,0.538,0.93,4.9,4.73,0.17,141.3,0.189,0.13562386980108498,0.17721518987341772,0.059674502712477394,0.268,67,0.4032911392405063,555,0.15135135135135136,0.1837837837837838,0.06306306306306306,0.28400000000000003,0.41627027027027025,0.41,0.562,161.3,6.51,6.21
10106,최정,2021,21 3B,134,555,436,92,121,17,1,35,100,84,102,22,3,8,6,0.278,0.41,0.562,0.972,6.51,6.21,0.3,161.3,0.204,0.15135135135135136,0.1837837837837838,0.06306306306306306,0.28400000000000003,68,0.41627027027027025,505,0.1306930693069307,0.1900990099009901,0.05148514851485148,0.239,0.3892277227722772,0.386,0.505,150.4,5.47,5.3
10106,최정,2022,22 3B,121,505,414,80,110,21,0,26,87,66,96,19,3,12,5,0.266,0.386,0.505,0.891,5.47,5.3,0.17,150.4,0.181,0.1306930693069307,0.1900990099009901,0.05148514851485148,0.239,63,0.3892277227722772,552,0.1068840579710145,0.15760869565217392,0.05253623188405797,0.25100000000000006,0.40394927536231884,0.388,0.548,157.6,5.42,5.68
10106,최정,2023,23 3B,128,552,471,94,140,31,0,29,87,59,87,15,6,7,3,0.297,0.388,0.548,0.936,5.42,5.68,-0.26,157.6,0.189,0.1068840579710145,0.15760869565217392,0.05253623188405797,0.25100000000000006,80,0.40394927536231884,550,0.1,0.20727272727272728,0.06727272727272728,0.303,0.41796363636363637,0.384,0.594,145.9,4.7,4.79
10119,이명기,2017,17 RF,115,512,464,79,154,24,4,9,63,28,57,3,0,8,7,0.332,0.371,0.459,0.83,2.83,2.34,0.49,112.6,0.149,0.0546875,0.111328125,0.017578125,0.127,117,0.35443359375,502,0.0796812749003984,0.12749003984063745,0.00796812749003984,0.11599999999999999,0.33818725099601593,0.363,0.418,98.4,1.84,1.28
10119,이명기,2018,18 RF,120,502,447,88,135,28,6,4,42,40,64,3,3,12,5,0.302,0.363,0.418,0.781,1.84,1.28,0.56,98.4,0.137,0.0796812749003984,0.12749003984063745,0.00796812749003984,0.11599999999999999,97,0.33818725099601593,547,0.08775137111517367,0.1206581352833638,0.003656307129798903,0.06,0.3170932358318099,0.359,0.353,98.5,2.48,1.79
10119,이명기,2019,19 RF,139,547,484,62,142,17,3,2,36,48,66,4,2,14,4,0.293,0.359,0.353,0.712,2.48,1.79,0.69,98.5,0.118,0.08775137111517367,0.1206581352833638,0.003656307129798903,0.06,120,0.3170932358318099,540,0.09259259259259259,0.14444444444444443,0.003703703703703704,0.063,0.33105555555555555,0.374,0.369,97.4,1.51,1.58
10165,양의지,2018,18 C,133,503,439,84,157,29,1,23,77,45,40,13,6,6,0,0.358,0.427,0.585,1.012,6.97,6.85,0.12,162.8,0.216,0.08946322067594434,0.07952286282306163,0.04572564612326044,0.22699999999999998,104,0.4368190854870776,459,0.10457516339869281,0.09368191721132897,0.04357298474945534,0.21999999999999997,0.437516339869281,0.438,0.574,177.3,7.18,7.04
10165,양의지,2019,19 C,118,459,390,61,138,26,0,20,68,48,43,15,4,4,3,0.354,0.438,0.574,1.012,7.18,7.04,0.14,177.3,0.217,0.10457516339869281,0.09368191721132897,0.04357298474945534,0.21999999999999997,92,0.437516339869281,528,0.08712121212121213,0.08901515151515152,0.0625,0.27499999999999997,0.42945075757575757,0.4,0.603,156.3,6.79,6.46
10165,양의지,2020,20 C,130,528,461,86,151,26,1,33,124,46,47,14,7,5,2,0.328,0.4,0.603,1.003,6.79,6.46,0.33,156.3,0.21,0.08712121212121213,0.08901515151515152,0.0625,0.27499999999999997,91,0.42945075757575757,570,0.12105263157894737,0.10526315789473684,0.05263157894736842,0.25599999999999995,0.426578947368421,0.414,0.581,168.5,6.19,6.22
10165,양의지,2021,21 DH,141,570,480,81,156,29,2,30,111,69,60,11,5,2,1,0.325,0.414,0.581,0.995,6.19,6.22,-0.03,168.5,0.211,0.12105263157894737,0.10526315789473684,0.05263157894736842,0.25599999999999995,95,0.426578947368421,510,0.11764705882352941,0.09411764705882353,0.0392156862745098,0.197,0.3760196078431372,0.38,0.48,141.5,5.64,5.21
10165,양의지,2022,22 C,130,510,427,61,121,24,0,20,94,60,48,13,6,3,1,0.283,0.38,0.48,0.86,5.64,5.21,0.42,141.5,0.167,0.11764705882352941,0.09411764705882353,0.0392156862745098,0.197,77,0.3760196078431372,510,0.11176470588235295,0.10980392156862745,0.03333333333333333,0.16899999999999998,0.3839607843137255,0.396,0.474,151.8,6.18,5.74
10165,양의지,2023,23 C,129,510,439,56,134,23,0,17,68,57,56,11,8,8,0,0.305,0.396,0.474,0.87,6.18,5.74,0.44,151.8,0.172,0.11176470588235295,0.10980392156862745,0.03333333333333333,0.16899999999999998,94,0.3839607843137255,485,0.08247422680412371,0.1154639175257732,0.03505154639175258,0.16499999999999998,0.37602061855670105,0.379,0.479,125.3,3.31,3.5
10165,양의지,2024,24 C,119,485,430,57,135,18,1,17,94,40,56,9,5,2,1,0.314,0.379,0.479,0.858,3.31,3.5,-0.19,125.3,0.164,0.08247422680412371,0.1154639175257732,0.03505154639175258,0.16499999999999998,99,0.37602061855670105,517,0.09671179883945841,0.1218568665377176,0.03868471953578337,0.196,0.4079303675048356,0.406,0.533,162.8,6.79,6.6
10168,이성열,2018,18 DH,131,528,485,76,143,21,1,34,102,35,143,5,3,9,7,0.295,0.347,0.553,0.9,2.07,2.11,-0.04,115.8,0.162,0.06628787878787878,0.2708333333333333,0.06439393939393939,0.25800000000000006,87,0.3880113636363637,476,0.10084033613445378,0.23949579831932774,0.04411764705882353,0.20800000000000002,0.3530672268907563,0.343,0.464,126.2,1.56,2.52
10174,김재호,2018,18 SS,131,467,402,78,125,20,0,16,75,52,77,4,1,6,2,0.311,0.39,0.48,0.87,4.2,4.07,0.13,127.4,0.169,0.11134903640256959,0.16488222698072805,0.034261241970021415,0.16899999999999998,89,0.3789507494646681,470,0.1425531914893617,0.12340425531914893,0.00851063829787234,0.08999999999999997,0.32842553191489365,0.379,0.358,118.9,3.93,3.52
10174,김재호,2019,19 SS,130,470,377,51,101,22,0,4,48,67,58,7,3,3,3,0.268,0.379,0.358,0.737,3.93,3.52,0.41,118.9,0.131,0.1425531914893617,0.12340425531914893,0.00851063829787234,0.08999999999999997,75,0.32842553191489365,458,0.0982532751091703,0.0982532751091703,0.004366812227074236,0.056999999999999995,0.31882096069869,0.362,0.346,99.7,1.98,2.13
10180,이원석,2017,17 3B,121,459,411,55,109,20,1,18,62,34,80,4,2,2,0,0.265,0.323,0.45,0.773,0.91,1.27,-0.36,87.0,0.123,0.07407407407407407,0.17429193899782136,0.0392156862745098,0.185,70,0.33433551198257083,543,0.09576427255985268,0.18968692449355432,0.03683241252302026,0.192,0.37828729281767953,0.374,0.493,109.7,2.31,2.78
10180,이원석,2018,18 3B,128,543,479,74,144,30,1,20,93,52,103,7,1,2,1,0.301,0.374,0.493,0.867,2.31,2.78,-0.47,109.7,0.162,0.09576427255985268,0.18968692449355432,0.03683241252302026,0.192,93,0.37828729281767953,455,0.0945054945054945,0.16043956043956045,0.041758241758241756,0.195,0.33483516483516484,0.327,0.441,104.6,1.29,1.63
10182,최주환,2017,17 2B,129,452,399,65,120,16,6,7,57,38,58,9,1,3,2,0.301,0.37,0.424,0.794,1.88,2.39,-0.51,110.9,0.141,0.084070796460177,0.12831858407079647,0.015486725663716814,0.123,91,0.3505088495575221,590,0.08644067796610169,0.15084745762711865,0.04406779661016949,0.24899999999999994,0.41867796610169494,0.397,0.582,150.5,5.9,5.53
10182,최주환,2020,20 2B,140,574,509,63,156,29,4,16,88,47,66,7,5,2,2,0.306,0.366,0.473,0.839,4.66,4.63,0.03,127.9,0.157,0.08188153310104529,0.11498257839721254,0.027874564459930314,0.16699999999999998,107,0.3651742160278745,470,0.1127659574468085,0.17872340425531916,0.03829787234042553,0.173,0.3478085106382979,0.353,0.429,112.4,2.44,2.29
10184,허경민,2018,18 3B,133,577,516,85,167,30,5,10,79,32,52,16,0,20,4,0.324,0.376,0.459,0.835,3.59,3.07,0.52,115.3,0.153,0.05545927209705372,0.09012131715771231,0.01733102253032929,0.135,122,0.36287694974003465,540,0.06296296296296296,0.06666666666666667,0.007407407407407408,0.08300000000000002,0.31981481481481483,0.35,0.371,107.7,2.64,2.43
10184,허경민,2019,19 3B,133,540,475,71,137,25,1,4,60,34,36,17,2,11,5,0.288,0.35,0.371,0.721,2.64,2.43,0.22,107.7,0.118,0.06296296296296296,0.06666666666666667,0.007407407407407408,0.08300000000000002,107,0.31981481481481483,487,0.07186858316221766,0.057494866529774126,0.014373716632443531,0.10999999999999999,0.3603696098562628,0.382,0.442,131.4,4.13,3.44
10184,허경민,2022,22 3B,121,493,432,59,125,23,0,8,60,36,40,16,3,10,3,0.289,0.36,0.398,0.758,2.56,3.13,-0.58,122.1,0.135,0.07302231237322515,0.08113590263691683,0.016227180527383367,0.10900000000000004,94,0.3367748478701826,475,0.07368421052631578,0.05473684210526316,0.014736842105263158,0.10699999999999998,0.31317894736842106,0.328,0.375,98.5,2.14,1.64
10184,허경민,2023,23 3B,130,475,429,44,115,23,1,7,48,35,26,6,3,9,3,0.268,0.328,0.375,0.703,2.14,1.64,0.5,98.5,0.111,0.07368421052631578,0.05473684210526316,0.014736842105263158,0.10699999999999998,84,0.31317894736842106,477,0.07547169811320754,0.05241090146750524,0.014675052410901468,0.118,0.35999999999999993,0.384,0.427,122.0,3.3,3.09
10184,허경민,2024,24 3B,115,477,417,69,129,28,0,7,61,36,25,18,0,5,1,0.309,0.384,0.427,0.811,3.3,3.09,0.21,122.0,0.16,0.07547169811320754,0.05241090146750524,0.014675052410901468,0.118,94,0.35999999999999993,481,0.08108108108108109,0.07276507276507277,0.008316008316008316,0.07200000000000001,0.32286902286902286,0.362,0.355,99.4,1.68,1.69
10187,김현수,2018,18 LF,117,511,453,95,164,39,2,20,101,47,61,1,6,1,3,0.362,0.415,0.589,1.004,4.99,5.07,-0.08,158.5,0.21,0.09197651663405088,0.11937377690802348,0.03913894324853229,0.22699999999999998,103,0.4297260273972603,595,0.0907563025210084,0.08739495798319327,0.018487394957983194,0.133,0.3552100840336134,0.37,0.437,130.5,3.15,3.37
10187,김현수,2019,19 LF,140,595,526,75,160,37,0,11,82,54,52,6,9,3,1,0.304,0.37,0.437,0.807,3.15,3.37,-0.22,130.5,0.143,0.0907563025210084,0.08739495798319327,0.018487394957983194,0.133,112,0.3552100840336134,619,0.10177705977382875,0.08562197092084006,0.035541195476575124,0.192,0.39964458804523423,0.397,0.523,153.7,4.83,5.32
10187,김현수,2020,20 LF,142,619,547,98,181,35,2,22,119,63,53,2,7,0,2,0.331,0.397,0.523,0.92,4.83,5.32,-0.5,153.7,0.188,0.10177705977382875,0.08562197092084006,0.035541195476575124,0.192,122,0.39964458804523423,595,0.12941176470588237,0.07058823529411765,0.02857142857142857,0.15000000000000002,0.35880672268907565,0.376,0.435,132.2,3.45,3.63
10187,김현수,2021,21 LF,140,595,506,70,144,23,1,17,96,77,42,3,5,3,0,0.285,0.376,0.435,0.811,3.45,3.63,-0.19,132.2,0.153,0.12941176470588237,0.07058823529411765,0.02857142857142857,0.15000000000000002,103,0.35880672268907565,604,0.11754966887417219,0.10264900662251655,0.0380794701986755,0.187,0.372317880794702,0.375,0.473,146.5,4.31,4.67
10187,김현수,2022,22 LF,141,604,524,78,150,25,2,23,106,71,62,5,7,2,1,0.286,0.375,0.473,0.848,4.31,4.67,-0.35,146.5,0.162,0.11754966887417219,0.10264900662251655,0.0380794701986755,0.187,100,0.372317880794702,556,0.10431654676258993,0.09532374100719425,0.01079136690647482,0.09000000000000002,0.3328956834532374,0.364,0.383,114.4,1.69,1.76
10187,김현수,2023,23 DH,133,556,488,53,143,22,2,6,88,58,53,1,4,2,1,0.293,0.364,0.383,0.747,1.69,1.76,-0.07,114.4,0.13,0.10431654676258993,0.09532374100719425,0.01079136690647482,0.09000000000000002,113,0.3328956834532374,583,0.08061749571183534,0.13036020583190394,0.0137221269296741,0.124,0.3413550600343053,0.357,0.418,104.7,1.09,1.52
10187,김현수,2024,24 LF,137,583,517,61,152,36,2,8,69,47,76,9,1,6,1,0.294,0.357,0.418,0.775,1.09,1.52,-0.43,104.7,0.136,0.08061749571183534,0.13036020583190394,0.0137221269296741,0.124,106,0.3413550600343053,552,0.11594202898550725,0.1322463768115942,0.021739130434782608,0.124,0.36021739130434777,0.384,0.422,133.1,3.36,3.61
10188,민병헌,2016,16 RF,134,579,511,98,166,31,4,16,87,48,91,15,1,9,2,0.325,0.396,0.495,0.891,3.42,3.73,-0.31,133.2,0.175,0.08290155440414508,0.15716753022452504,0.027633851468048358,0.16999999999999998,115,0.38984455958549225,520,0.09038461538461538,0.1423076923076923,0.026923076923076925,0.14100000000000001,0.36936538461538465,0.389,0.445,124.7,2.1,2.59
10188,민병헌,2017,17 RF,123,520,447,73,136,21,0,14,71,47,74,19,2,3,4,0.304,0.389,0.445,0.834,2.1,2.59,-0.49,124.7,0.157,0.09038461538461538,0.1423076923076923,0.026923076923076925,0.14100000000000001,101,0.36936538461538465,494,0.0708502024291498,0.13765182186234817,0.03441295546558704,0.16299999999999998,0.37236842105263157,0.374,0.481,109.3,3.36,2.84
10189,박건우,2016,16 RF,132,540,484,95,162,36,4,20,83,38,86,9,0,17,6,0.335,0.39,0.55,0.94,4.17,4.44,-0.27,139.0,0.184,0.07037037037037037,0.15925925925925927,0.037037037037037035,0.21500000000000002,102,0.4031111111111111,543,0.07550644567219153,0.11786372007366483,0.03683241252302026,0.21599999999999997,0.4307182320441989,0.424,0.582,168.6,6.13,6.36
10189,박건우,2017,17 CF,131,543,483,91,177,40,2,20,78,41,64,10,2,20,3,0.366,0.424,0.582,1.006,6.13,6.36,-0.23,168.6,0.212,0.07550644567219153,0.11786372007366483,0.03683241252302026,0.21599999999999997,115,0.4307182320441989,529,0.052930056710775046,0.12287334593572778,0.022684310018903593,0.14699999999999996,0.37060491493383746,0.373,0.473,118.5,2.93,2.88
